Time,mean_fraction_lambda_C
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
365,0
365.25,0
365.5,0
365.75,0
366,0
366.25,0
366.5,0
366.75,0
367,0
367.25,0
367.5,0
367.75,0
368,0
368.25,0
368.5,0
368.75,0
369,0
369.25,0
369.5,0
369.75,0
370,0
370.25,0
370.5,0
370.75,0
371,0
371.25,0
371.5,0
371.75,0
372,0
372.25,0
372.5,0
372.75,0
373,0
373.25,0
373.5,0
373.75,0
374,0
374.25,0
374.5,0
374.75,0
375,0
375.25,0
375.5,0
375.75,0
376,0
376.25,0
376.5,0
376.75,0
377,0
377.25,0
377.5,0
377.75,0
378,0
378.25,0
378.5,0
378.75,0
379,0
379.25,0
379.5,0
379.75,0
380,0
380.25,0
380.5,0
380.75,0
381,0
381.25,0
381.5,0
381.75,0
382,0
382.25,0
382.5,0
382.75,0
383,0
383.25,0
383.5,0
383.75,0
384,0
384.25,0
384.5,0
384.75,0
385,0
385.25,0
385.5,0
385.75,0
386,0
386.25,0
386.5,0
386.75,0
387,0
387.25,0
387.5,0
387.75,0
388,0
388.25,0
388.5,0
388.75,0
389,0
389.25,0
389.5,0
389.75,0
390,0
390.25,0
390.5,0
390.75,0
391,0
391.25,0
391.5,0
391.75,0
392,0
392.25,0
392.5,0
392.75,0
393,0
393.25,0
393.5,0
393.75,0
394,0
394.25,0
394.5,0
394.75,0
395,0
395.25,0
395.5,0
395.75,0
396,0
396.25,0
396.5,0
396.75,0
397,0
397.25,0
397.5,0
397.75,0
398,0
398.25,0
398.5,0
398.75,0
399,0
399.25,0
399.5,0
399.75,0
400,0
400.25,0
400.5,0
400.75,0
401,0
401.25,0
401.5,0
401.75,0
402,0
402.25,0
402.5,0
402.75,0
403,0
403.25,0
403.5,0
403.75,0
404,0
404.25,0
404.5,0
404.75,0
405,0
405.25,0
405.5,0
405.75,0
406,0
406.25,0
406.5,0
406.75,0
407,0
407.25,0
407.5,0
407.75,0
408,0
408.25,0
408.5,0
408.75,0
409,0
409.25,0
409.5,0
409.75,0
410,0
410.25,0
410.5,0
410.75,0
411,0
411.25,0
411.5,0
411.75,0
412,0
412.25,0
412.5,0
412.75,0
413,0
413.25,0
413.5,0
413.75,0
414,0
414.25,0
414.5,0
414.75,0
415,0
415.25,0
415.5,0
415.75,0
416,0
416.25,0
416.5,0
416.75,0
417,0
417.25,0
417.5,0
417.75,0
418,0
418.25,0
418.5,0
418.75,0
419,0
419.25,0
419.5,0
419.75,0
420,0
420.25,0
420.5,0
420.75,0
421,0
421.25,0
421.5,0
421.75,0
422,0
422.25,0
422.5,0
422.75,0
423,0
423.25,0
423.5,0
423.75,0
424,0
424.25,0
424.5,0
424.75,0
425,0
425.25,0
425.5,0
425.75,0
426,0
426.25,0
426.5,0
426.75,0
427,0
427.25,0
427.5,0
427.75,0
428,0
428.25,0
428.5,0
428.75,0
429,0
429.25,0
429.5,0
429.75,0
430,0
430.25,0
430.5,0
430.75,0
431,0
431.25,0
431.5,0
431.75,0
432,0
432.25,0
432.5,0
432.75,0
433,0
433.25,0
433.5,0
433.75,0
434,0
434.25,0
434.5,0
434.75,0
435,0
435.25,0
435.5,0
435.75,0
436,0
436.25,0
436.5,0
436.75,0
437,0
437.25,0
437.5,0
437.75,0
438,0
438.25,0
438.5,0
438.75,0
439,0
439.25,0
439.5,0
439.75,0
440,0
440.25,0
440.5,0
440.75,0
441,0
441.25,0
441.5,0
441.75,0
442,0
442.25,0
442.5,0
442.75,0
443,0
443.25,0
443.5,0
443.75,0
444,0
444.25,0
444.5,0
444.75,0
445,0
445.25,0
445.5,0
445.75,0
446,0
446.25,0
446.5,0
446.75,0
447,0
447.25,0
447.5,0
447.75,0
448,0
448.25,0
448.5,0
448.75,0
449,0
449.25,0
449.5,0
449.75,0
450,0
450.25,0
450.5,0
450.75,0
451,0
451.25,0
451.5,0
451.75,0
452,0
452.25,0
452.5,0
452.75,0
453,0
453.25,0
453.5,0
453.75,0
454,0
454.25,0
454.5,0
454.75,0
455,0
455.25,0
455.5,0
455.75,0
456,0
456.25,0
456.5,0
456.75,0
457,0
457.25,0
457.5,0
457.75,0
458,0
458.25,0
458.5,0
458.75,0
459,0
459.25,0
459.5,0
459.75,0
460,0
460.25,0
460.5,0
460.75,0
461,0
461.25,0
461.5,0
461.75,0
462,0
462.25,0
462.5,0
462.75,0
463,0
463.25,0
463.5,0
463.75,0
464,0
464.25,0
464.5,0
464.75,0
465,0
465.25,0
465.5,0
465.75,0
466,0
466.25,0
466.5,0
466.75,0
467,0
467.25,0
467.5,0
467.75,0
468,0
468.25,0
468.5,0
468.75,0
469,0
469.25,0
469.5,0
469.75,0
470,0
470.25,0
470.5,0
470.75,0
471,0
471.25,0
471.5,0
471.75,0
472,0
472.25,0
472.5,0
472.75,0
473,0
473.25,0
473.5,0
473.75,0
474,0
474.25,0
474.5,0
474.75,0
475,0
475.25,0
475.5,0
475.75,0
476,0
476.25,0
476.5,0
476.75,0
477,0
477.25,0
477.5,0
477.75,0
478,0
478.25,0
478.5,0
478.75,0
479,0
479.25,0
479.5,0
479.75,0
480,0
480.25,0
480.5,0
480.75,0
481,0
481.25,0
481.5,0
481.75,0
482,0
482.25,0
482.5,0
482.75,0
483,0
483.25,0
483.5,0
483.75,0
484,0
484.25,0
484.5,0
484.75,0
485,0
485.25,0
485.5,0
485.75,0
486,0
486.25,0
486.5,0
486.75,0
487,0
487.25,0
487.5,0
487.75,0
488,0
488.25,0
488.5,0
488.75,0
489,0
489.25,0
489.5,0
489.75,0
490,0
490.25,0
490.5,0
490.75,0
491,0
491.25,0
491.5,0
491.75,0
492,0
492.25,0
492.5,0
492.75,0
493,0
493.25,0
493.5,0
493.75,0
494,0
494.25,0
494.5,0
494.75,0
495,0
495.25,0
495.5,0
495.75,0
496,0
496.25,0
496.5,0
496.75,0
497,0
497.25,0
497.5,0
497.75,0
498,0
498.25,0
498.5,0
498.75,0
499,0
499.25,0
499.5,0
499.75,0
500,0
500.25,0
500.5,0
500.75,0
501,0
501.25,0
501.5,0
501.75,0
502,0
502.25,0
502.5,0
502.75,0
503,0
503.25,0
503.5,0
503.75,0
504,0
504.25,0
504.5,0
504.75,0
505,0
505.25,0
505.5,0
505.75,0
