Time,susceptible_lambda
0,0
0.25,0
0.5,0.769227
0.75,2.33324
1,4.8526
1.25,7.73167
1.5,9.94834
1.75,13.0368
2,18.5313
2.25,16.7775
2.5,17.3892
2.75,16.8366
3,16.7297
3.25,16.4606
3.5,17.3593
3.75,16.6649
4,13.6544
4.25,15.0792
4.5,15.8497
4.75,15.4286
5,18.1457
5.25,17.4515
5.5,16.3392
5.75,16.9252
6,20.9188
6.25,25.3123
6.5,25.5087
6.75,14.4121
7,13.9581
7.25,18.5388
7.5,16.9608
7.75,14.6207
8,20.3637
8.25,18.9912
8.5,17.0024
8.75,16.712
9,15.685
9.25,17.9945
9.5,18.6095
9.75,18.5232
10,21.365
10.25,21.5387
10.5,17.1761
10.75,21.2581
11,25.8883
11.25,22.3823
11.5,24.9963
11.75,25.6785
12,24.0086
12.25,20.7749
12.5,21.2114
12.75,19.5863
13,18.4135
13.25,23.4298
13.5,23.138
13.75,25.2808
14,23.6429
14.25,25.0137
14.5,23.3723
14.75,16.3968
15,15.9835
15.25,23.5307
15.5,20.7049
15.75,21.1216
16,18.042
16.25,18.321
16.5,24.5614
16.75,22.7173
17,26.9293
17.25,28.1423
17.5,22.1058
17.75,23.3362
18,18.7225
18.25,19.3272
18.5,22.196
18.75,27.4682
19,27.1168
19.25,32.4424
19.5,31.6449
19.75,35.1817
20,38.2824
20.25,36.3449
20.5,34.2209
20.75,36.6174
21,38.519
21.25,35.6028
21.5,38.7942
21.75,32.7074
22,29.7169
22.25,41.3821
22.5,33.0682
22.75,29.0025
23,34.4034
23.25,34.1577
23.5,32.0141
23.75,29.6377
24,31.5539
24.25,33.675
24.5,32.4339
24.75,33.739
25,33.2906
25.25,52.1309
25.5,44.7825
25.75,41.5201
26,40.8506
26.25,40.6249
26.5,42.5975
26.75,37.229
27,46.7408
27.25,43.3439
27.5,56.9807
27.75,53.9516
28,55.1033
28.25,48.2605
28.5,58.8365
28.75,50.3559
29,65.8547
29.25,53.1891
29.5,60.3646
29.75,56.011
30,56.8012
30.25,58.7248
30.5,52.4882
30.75,52.3514
31,49.9748
31.25,49.2708
31.5,48.1945
31.75,49.402
32,49.6241
32.25,48.4662
32.5,54.0825
32.75,55.3926
33,64.572
33.25,64.3885
33.5,58.9863
33.75,56.822
34,57.2867
34.25,53.6722
34.5,67.7554
34.75,66.816
35,76.6684
35.25,80.051
35.5,88.1773
35.75,89.4269
36,90.6775
36.25,90.3007
36.5,78.95
36.75,78.8704
37,81.2408
37.25,87.2612
37.5,98.2259
37.75,89.9567
38,94.5899
38.25,96.9148
38.5,92.8743
38.75,97.03
39,96.3831
39.25,89.7819
39.5,87.8821
39.75,84.8815
40,80.05
40.25,78.859
40.5,78.7233
40.75,74.99
41,80.7924
41.25,80.6364
41.5,100.964
41.75,103.436
42,80.151
42.25,80.5152
42.5,81.7237
42.75,83.3794
43,87.9129
43.25,96.2682
43.5,109.705
43.75,99.4667
44,92.9871
44.25,88.1725
44.5,87.5121
44.75,111.716
45,110.265
45.25,99.6846
45.5,97.7145
45.75,90.4016
46,83.2737
46.25,85.8062
46.5,88.8692
46.75,82.9742
47,91.1405
47.25,90.2274
47.5,95.8017
47.75,102.769
48,113.591
48.25,106.452
48.5,112.562
48.75,106.709
49,112.908
49.25,127.399
49.5,128.036
49.75,133.141
50,132.721
50.25,120.451
50.5,123.935
50.75,121.805
51,119.301
51.25,108.831
51.5,120.893
51.75,128.172
52,128.366
52.25,137.94
52.5,148.088
52.75,142.842
53,140.072
53.25,159.496
53.5,150.607
53.75,141.366
54,148.096
54.25,144.622
54.5,175.199
54.75,164.21
55,164.178
55.25,173.316
55.5,178.042
55.75,184.658
56,176.686
56.25,184.607
56.5,188.86
56.75,187.329
57,209.153
57.25,210.34
57.5,210.679
57.75,209.858
58,213.532
58.25,224.277
58.5,239.389
58.75,238.641
59,249.254
59.25,272.227
59.5,282.212
59.75,306.435
60,258.61
60.25,256.538
60.5,262.508
60.75,244.819
61,231.084
61.25,220.548
61.5,246.122
61.75,259.514
62,251.541
62.25,255.268
62.5,277.679
62.75,291.519
63,293.454
63.25,291.113
63.5,316.534
63.75,333.733
64,340.901
64.25,344.305
64.5,351.763
64.75,336.214
65,351.024
65.25,357.126
65.5,364.199
65.75,377.166
66,373.48
66.25,344.609
66.5,348.224
66.75,355.511
67,381.245
67.25,398.42
67.5,407.931
67.75,396.854
68,412.689
68.25,416.123
68.5,428.113
68.75,435.743
69,445.704
69.25,414.742
69.5,429.55
69.75,418.152
70,413.742
70.25,242.488
70.5,255.562
70.75,266.143
71,291.932
71.25,287.889
71.5,298.548
71.75,302.591
72,302.725
72.25,303.715
72.5,311.405
72.75,312.749
73,331.352
73.25,308.532
73.5,318.065
73.75,304.271
74,280.724
74.25,287.438
74.5,295.05
74.75,299.922
75,300.211
75.25,307.612
75.5,310.515
75.75,334.187
76,304.361
76.25,312.694
76.5,340.001
76.75,310.791
77,312.144
77.25,291.421
77.5,284.273
77.75,264.524
78,266.119
78.25,275.313
78.5,258.641
78.75,243.762
79,223.179
79.25,231.393
79.5,248.502
79.75,254.435
80,250.002
80.25,268.686
80.5,290.534
80.75,268.305
81,286.381
81.25,315.573
81.5,303.02
81.75,308.991
82,303.021
82.25,290.253
82.5,291.086
82.75,277.8
83,303.77
83.25,287.251
83.5,284.529
83.75,276.018
84,303.94
84.25,304.935
84.5,304.541
84.75,317.583
85,292.786
85.25,283.784
85.5,303.816
85.75,287.576
86,321.475
86.25,308.479
86.5,335.464
86.75,309.423
87,309.207
87.25,292.236
87.5,282.8
87.75,274.462
88,286.135
88.25,276.533
88.5,269.495
88.75,267.495
89,286.414
89.25,292.318
89.5,287.424
89.75,290.409
90,331.165
90.25,309.191
